Task start time;End time;Map name;Cleaning plan;Robot name;S/N;User;Task completion (%);Cleaning plan area (?);Total time;Total time (h);Actual cleaning area(?);Work efficiency (?/h);Water usage (L);Start battery level (%);End battery level (%);Remaining life of consumables;Remaining life of consumables;Remaining life of consumables;Planned crystallization area (?);Actual crystallization area (?);Receive task report time;Task start mode;Uncleaned area (?);Plan running time (s);Task type;Remarks;Download link;Task status
08/07/2024 09:05;08/07/2024 10:16;coursives_F1;Coursive_F1_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;93.48;601.45;0 h 56 min 30 sec;0.9417;562.22;597.00;0;98;71;100.00;100.00;100.00;;;08/07/2024 16:16;normal;39.23;00:50:07;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/c7528e51-02b7-41a8-bc7a-d742c5fbf0b7;Normal end
08/07/2024 10:52;08/07/2024 12:22;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;91.39;598.74;1 h 5 min 4 sec;1.0844;547.20;504.55;0;69;37;100.00;100.00;100.00;;;08/07/2024 18:22;normal;51.54;00:49:53;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/928d6478-76ec-4b3f-808e-729bffbac906;Normal end
09/07/2024 08:33;09/07/2024 09:56;coursives_F1;Coursive_F1_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.24;601.45;1 h 1 min 38 sec;1.0272;554.79;539.94;0;99;69;100.00;100.00;100.00;;;09/07/2024 15:56;normal;46.66;00:50:07;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/7047caf9-9239-4def-acca-87c24591306e;Normal end
09/07/2024 10:52;09/07/2024 12:24;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;90.74;598.30;1 h 6 min 5 sec;1.1014;542.91;492.82;0;66;33;100.00;100.00;100.00;;;09/07/2024 18:24;normal;55.39;00:49:51;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/677a5035-51f8-4c91-8afe-3a8bb29ae157;Normal end
09/07/2024 22:58;10/07/2024 01:21;coursives_F2;Correspondance_F2_K2;Atalian_ADP;GS142-0230-J4P-P000;user;92.41;1,109.27;2 h 9 min 1 sec;2.1503;1,025.10;476.71;0;99;50;100.00;100.00;100.00;;;10/07/2024 07:21;normal;84.17;01:32:26;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/409b4635-d8cf-4350-99ac-fd473ee4cc50;Normal end
10/07/2024 08:31;10/07/2024 09:55;coursives_F1;Coursive_F1_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.41;602.21;1 h 2 min 38 sec;1.0439;556.50;532.99;0;98;67;100.00;100.00;100.00;;;10/07/2024 15:55;normal;45.71;00:50:11;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/8e69f58e-a25b-4790-9368-87dd9d7fdeff;Normal end
10/07/2024 12:11;10/07/2024 13:38;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;91.71;598.00;1 h 3 min 18 sec;1.0550;548.43;519.78;0;58;26;100.00;100.00;100.00;;;10/07/2024 19:38;normal;49.58;00:49:50;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/a5848fe3-7b8c-4143-bfa9-46d9f6ac60d3;Normal end
11/07/2024 01:40;11/07/2024 03:59;coursives_F2;Correspondance_F2_K2;Atalian_ADP;GS142-0230-J4P-P000;user;92.92;1,109.67;2 h 8 min 2 sec;2.1339;1,031.16;483.18;0;99;43;100.00;100.00;100.00;;;11/07/2024 09:59;normal;78.51;01:32:28;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/983b57f6-1317-4782-ae39-66f2da110d49;Normal end
11/07/2024 08:34;11/07/2024 11:52;coursives_F1;Correspondance_F1_K1;Atalian_ADP;GS142-0230-J4P-P000;user;93.28;994.11;2 h 31 min 13 sec;2.5203;927.30;367.90;0;99;20;100.00;100.00;100.00;;;11/07/2024 17:52;normal;66.81;01:22:50;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/7806e9b5-e811-4a8d-a661-711633793331;Normal end
12/07/2024 08:41;12/07/2024 11:56;coursives_F1;Correspondance_F1_K1;Atalian_ADP;GS142-0230-J4P-P000;user;92.94;994.69;2 h 32 min 26 sec;2.5406;924.45;363.84;0;99;18;100.00;100.00;100.00;;;12/07/2024 17:56;normal;70.24;01:22:53;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/c4c00e1e-2992-42af-a9ed-38805d5f6843;Normal end
12/07/2024 14:26;12/07/2024 23:16;coursives_F2;Correspondance_F2_K2;Atalian_ADP;GS142-0230-J4P-P000;user;85.68;1,108.63;2 h 15 min 55 sec;2.2653;949.84;419.26;0;88;99;100.00;100.00;100.00;;;13/07/2024 05:16;normal;158.79;01:32:23;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/b6b26e93-7577-4b27-b2f0-0b4309e2e750;Manual termination
12/07/2024 23:19;13/07/2024 01:46;coursives_F2;Correspondance_F2_K2;Atalian_ADP;GS142-0230-J4P-P000;user;93.10;1,109.79;2 h 13 min 10 sec;2.2194;1,033.27;465.53;0;99;38;100.00;100.00;100.00;;;13/07/2024 07:46;normal;76.53;01:32:28;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/b4b0bff7-7efb-46b8-a5fd-dcaf6ae18cf7;Normal end
13/07/2024 08:39;13/07/2024 09:54;coursives_F1;Coursive_F1_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;91.51;601.79;0 h 56 min 25 sec;0.9403;550.70;585.56;0;99;71;100.00;100.00;100.00;;;13/07/2024 15:54;normal;51.10;00:50:08;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/56ed3f8c-1479-4739-b364-58af615a2e98;Normal end
13/07/2024 12:12;13/07/2024 13:31;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.40;598.00;1 h 0 min 40 sec;1.0111;552.54;546.41;0;62;33;100.00;100.00;100.00;;;13/07/2024 21:51;normal;45.46;00:49:50;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/05647db4-402c-4734-893c-47518a361a58;Normal end
